test_query,rank,split,similar_query,similarity_score
Leeks are a type of vegetable.,2,train,Veggiecation,0.5295991
Leeks are a type of vegetable.,3,val,cabbage,0.51332617
Leeks are a type of vegetable.,4,train,radishes,0.50916064
Leeks are a type of vegetable.,5,train,cruciferous vegetables,0.48049277
The comparison is between calcium derived from plants and calcium derived from cows.,1,test,Plant vs. Cow Calcium,0.75447273
The comparison is between calcium derived from plants and calcium derived from cows.,2,train,Calcium Absorption: Soy Milk Versus Cow Milk,0.69870573
The comparison is between calcium derived from plants and calcium derived from cows.,3,train,Dairy & Sexual Precocity,0.54493976
The comparison is between calcium derived from plants and calcium derived from cows.,4,test,Is Milk Good for Our Bones?,0.5293961
The comparison is between calcium derived from plants and calcium derived from cows.,5,train,Dairy Estrogen and Male Fertility,0.52637994
St. Johns wort is being referred to.,1,test,St. John's wort,0.84596074
St. Johns wort is being referred to.,2,train,Rooibos & Nettle Tea,0.549787
St. Johns wort is being referred to.,3,train,Herbal Tea Update: Rooibos & Nettle,0.546895
St. Johns wort is being referred to.,4,train,Ergothioneine: A New Vitamin?,0.516216
St. Johns wort is being referred to.,5,train,Ergothioneine: A New Vitamin?,0.516216
"Vaccines and food contain aluminum, but in different amounts.",1,test,Aluminum in Vaccines vs. Food,0.8706101
"Vaccines and food contain aluminum, but in different amounts.",2,train,Is There Too Much Aluminum in Tea?,0.75144213
"Vaccines and food contain aluminum, but in different amounts.",3,train,aluminum,0.5995007
"Vaccines and food contain aluminum, but in different amounts.",4,train,Amla and Triphala Tested for Metals,0.59413433
"Vaccines and food contain aluminum, but in different amounts.",5,train,cadmium,0.58053696
Finland is a country in northern Europe.,1,test,Finland,0.6935322
Finland is a country in northern Europe.,2,train,Norway,0.39942557
Finland is a country in northern Europe.,3,train,Sweden,0.35397857
Finland is a country in northern Europe.,4,train,prostate health,0.3014776
Finland is a country in northern Europe.,5,train,phytoestrogens,0.28117305
Excess estrogen can be relieved.,1,test,Relieving Yourself of Excess Estrogen,0.7791394
Excess estrogen can be relieved.,2,train,Meat Hormones & Female Infertility,0.6387973
Excess estrogen can be relieved.,3,train,Plant-Based Bioidentical Hormones,0.63693327
Excess estrogen can be relieved.,4,train,Are Bioidentical Hormones Safe?,0.61479354
Excess estrogen can be relieved.,5,train,Dairy Estrogen and Male Fertility,0.59347594
Can the use of cholesterol statin drugs lead to breast cancer?,1,test,Do Cholesterol Statin Drugs Cause Breast Cancer?,0.95905685
Can the use of cholesterol statin drugs lead to breast cancer?,2,train,Statin Cholesterol Drugs and Invasive Breast Cancer,0.840999
Can the use of cholesterol statin drugs lead to breast cancer?,3,train,Statin Muscle Toxicity,0.6709718
Can the use of cholesterol statin drugs lead to breast cancer?,4,train,New Cholesterol Fighters,0.63730884
Can the use of cholesterol statin drugs lead to breast cancer?,5,train,Diet Versus Drugs for High Cholesterol,0.6197462
The cause behind Americas obesity problem is what?,1,test,What’s Driving America’s Obesity Problem?,0.75094247
The cause behind Americas obesity problem is what?,2,train,Does Eating Obesity Cause Obesity?,0.6194017
The cause behind Americas obesity problem is what?,3,train,The Spillover Effect Links Obesity to Diabetes,0.55729884
The cause behind Americas obesity problem is what?,4,train,Metabolic Syndrome and Plant-Based Diets,0.49146122
The cause behind Americas obesity problem is what?,5,train,What Causes Diabetes?,0.4845104
The best treatment for constipation is...,1,test,Best Treatment for Constipation,0.8696022
The best treatment for constipation is...,2,train,Best Dried Fruit For Cholesterol,0.56403726
The best treatment for constipation is...,3,test,Kiwifruit for Irritable Bowel Syndrome,0.56092954
The best treatment for constipation is...,4,train,Prunes vs. Metamucil vs. Vegan Diet,0.5591708
The best treatment for constipation is...,5,train,The Healthiest Diet for Weight Control,0.55376875
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,1,test,benzene,0.7229887
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,2,train,polycyclic aromatic hydrocarbons,0.557739
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,3,train,Benzene in Carrot Juice,0.5442977
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,4,train,polycyclic hydrocarbons,0.5129256
Benzene is a chemical compound with a cyclic structure consisting of six carbon atoms.,5,train,Toxaphene,0.42728907
The Enzyme Myth is true on certain occasions.,1,test,Sometimes the Enzyme Myth Is True,0.9539228
The Enzyme Myth is true on certain occasions.,2,train,Methionine Restriction as a Life Extension Strategy,0.5163244
The Enzyme Myth is true on certain occasions.,3,train,How Plant-Based Diets May Extend Our Lives,0.4920984
The Enzyme Myth is true on certain occasions.,4,train,pancreatic enzymes,0.4889355
The Enzyme Myth is true on certain occasions.,5,train,Ergothioneine: A New Vitamin?,0.4851885
What is the best dosage and source of phytosterols for optimal results?,1,test,Optimal Phytosterol Dose and Source,0.86765265
What is the best dosage and source of phytosterols for optimal results?,2,val,Optimal Phytosterol Source,0.84772336
What is the best dosage and source of phytosterols for optimal results?,3,test,Optimal Phytosterol Dose,0.7760396
What is the best dosage and source of phytosterols for optimal results?,4,train,How Phytosterols Lower Cholesterol,0.7132957
What is the best dosage and source of phytosterols for optimal results?,5,train,phytosterols,0.60717714
What do leeks refer to?,1,test,leeks,0.6970195
What do leeks refer to?,2,train,beta carotene,0.42155942
What do leeks refer to?,3,train,Brussels sprouts,0.4046963
What do leeks refer to?,4,train,radishes,0.4028827
What do leeks refer to?,5,val,lycopene,0.39322135
Does drinking caffeinated tea cause dehydration?,1,test,Is Caffeinated Tea Really Dehydrating?,0.93327
Does drinking caffeinated tea cause dehydration?,2,train,Is Caffeinated Tea Dehydrating?,0.92541116
Does drinking caffeinated tea cause dehydration?,3,train,Childhood Tea Drinking May Increase Fluorosis Risk,0.6443888
Does drinking caffeinated tea cause dehydration?,4,train,dehydration,0.6133376
Does drinking caffeinated tea cause dehydration?,5,train,Tea and Fluoride Risk,0.60970455
Gaining weight.,1,test,weight gain,0.7787651
Gaining weight.,2,train,weight loss,0.68516284
Gaining weight.,3,train,obesity,0.5848524
Gaining weight.,4,train,metabolism,0.583996
Gaining weight.,5,train,calories,0.5691838
Neurocysticercosis is a medical condition involving cysts in the brain.,1,test,neurocysticercosis,0.90259326
Neurocysticercosis is a medical condition involving cysts in the brain.,2,train,cysticercosis,0.8541622
Neurocysticercosis is a medical condition involving cysts in the brain.,3,train,brain parasites,0.6765547
Neurocysticercosis is a medical condition involving cysts in the brain.,4,train,Brain Parasites in Meat,0.6332338
Neurocysticercosis is a medical condition involving cysts in the brain.,5,val,eye parasites,0.6103489
Is the safety of annatto food coloring being questioned?,1,test,Is annatto food coloring safe?,0.90508014
Is the safety of annatto food coloring being questioned?,2,train,Does Caramel Color Cause Cancer?,0.72171605
Is the safety of annatto food coloring being questioned?,3,train,Seeing Red No. 3: Coloring to Dye For,0.7015313
Is the safety of annatto food coloring being questioned?,4,train,food dyes,0.692181
Is the safety of annatto food coloring being questioned?,5,test,Are Artificial Colors Bad for You?,0.6912913
300 foods have been assessed for their antioxidant content.,1,test,Antioxidant Content of 300 Foods,0.8005887
300 foods have been assessed for their antioxidant content.,2,train,"Antioxidant Content of 3,139 Foods",0.7942815
300 foods have been assessed for their antioxidant content.,3,train,Antioxidant Power of Plant Foods Versus Animal Foods,0.72313714
300 foods have been assessed for their antioxidant content.,4,train,Food Antioxidants and Cancer,0.6845149
300 foods have been assessed for their antioxidant content.,5,train,New Antioxidant Superstars,0.67542714
Processed foods that are extremely processed.,1,test,ultra-processed foods,0.889103
Processed foods that are extremely processed.,2,train,processed foods,0.82714915
Processed foods that are extremely processed.,3,test,junk food,0.6748062
Processed foods that are extremely processed.,4,val,processed meats,0.65436435
Processed foods that are extremely processed.,5,train,food additives,0.5678954
What is magnesium?,1,test,magnesium,0.71239376
What is magnesium?,2,train,Mineral of the Year—Magnesium,0.6001932
What is magnesium?,3,train,zinc,0.45287484
What is magnesium?,4,train,iron,0.43420166
What is magnesium?,5,train,Iron During Pregnancy,0.4162892
What is tempeh?,1,test,tempeh,0.79402614
What is tempeh?,2,train,Tofu vs. Tempeh,0.5003838
What is tempeh?,3,train,tahini,0.39575946
What is tempeh?,4,train,edamame,0.38094252
What is tempeh?,5,train,microwaving,0.36294186
Dragons Blood is being sought after.,1,test,Dragon's Blood,0.6417024
Dragons Blood is being sought after.,2,train,dragon's blood,0.6417023
Dragons Blood is being sought after.,3,train,blood-letting,0.44802815
Dragons Blood is being sought after.,4,train,blood donation,0.34909496
Dragons Blood is being sought after.,5,test,Is Dragon Fruit Good For You?,0.33149004
What is Lindane?,1,test,Lindane,0.7579211
What is Lindane?,2,test,ergothioneine,0.41117698
What is Lindane?,3,train,theanine,0.38795602
What is Lindane?,4,train,trigylcerides,0.3879233
What is Lindane?,5,train,natural toxins,0.37784547
The transition from the lab to the track.,1,test,Out of the Lab Onto the Track,0.8298559
The transition from the lab to the track.,2,val,Enhanced Athletic Recovery Without Undermining Adaptation,0.38042724
The transition from the lab to the track.,3,train,Raisins vs. Energy Gels for Athletic Performance,0.343459
The transition from the lab to the track.,4,val,Raisins vs. Jelly Beans for Athletic Performance,0.33543262
The transition from the lab to the track.,5,train,Using Greens to Improve Athletic Performance,0.3282583
Phytates are used to treat cancer.,1,test,Phytates for the Treatment of Cancer,0.9311525
Phytates are used to treat cancer.,2,train,Phytates for the Prevention of Cancer,0.87427616
Phytates are used to treat cancer.,3,train,Phytates in Beans: Anti-Nutrient or Anti-Cancer?,0.79998064
Phytates are used to treat cancer.,4,train,Phytates for Rehabilitating Cancer Cells,0.7868856
Phytates are used to treat cancer.,5,train,Colon Cancer Prevention: Is it the Fiber or the Phytates?,0.7767587
The Bush administration was in power for eight years.,1,test,Bush administration,0.5847118
The Bush administration was in power for eight years.,2,val,The McGovern Report,0.3713169
The Bush administration was in power for eight years.,3,train,Obama,0.36431384
The Bush administration was in power for eight years.,4,train,Drugs and the Demise of the Rice Diet,0.34089407
The Bush administration was in power for eight years.,5,train,Heart Attacks and Cholesterol: Agribusiness Sees It Differently,0.33451906
"""What is milk?""",1,test,milk,0.5706613
"""What is milk?""",2,train,almond milk,0.5643611
"""What is milk?""",3,train,skim milk,0.56143504
"""What is milk?""",4,train,rice milk,0.5441404
"""What is milk?""",5,train,coconut milk,0.48316646
Is it true that organic foods are safer?,1,test,Are Organic Foods Safer?,0.9495328
Is it true that organic foods are safer?,2,train,Are Organic Foods Healthier?,0.8465925
Is it true that organic foods are safer?,3,train,Are the Benefits of Organic Food Underrated or Overrated?,0.6764137
Is it true that organic foods are safer?,4,train,Does “organic” chicken contain less arsenic?,0.6082802
Is it true that organic foods are safer?,5,train,Are Organic Foods More Nutritious?,0.57077134
Tumors can be deprived of their blood supply.,1,test,Starving Tumors of Their Blood Supply,0.6943518
Tumors can be deprived of their blood supply.,2,train,How Tumors Use Meat to Grow,0.5729886
Tumors can be deprived of their blood supply.,3,test,Anti-Angiogenesis: Cutting Off Tumor Supply Lines,0.55323476
Tumors can be deprived of their blood supply.,4,train,Meningioma,0.5403905
Tumors can be deprived of their blood supply.,5,train,Starving Cancer with Methionine Restriction,0.50893664
Do eggs affect arterial function?,1,test,Eggs and Arterial Function,0.9453789
Do eggs affect arterial function?,2,train,What Do Eggs Do To Our Arteries?,0.8782367
Do eggs affect arterial function?,3,val,Egg Cholesterol in the Diet,0.7116636
Do eggs affect arterial function?,4,train,Eggs vs. Cigarettes in Atherosclerosis,0.68344474
Do eggs affect arterial function?,5,train,Eggs and Diabetes,0.66580296
The impact of vegetables on cancer.,1,train,Preventing Breast Cancer By Any Greens Necessary,0.6835309
The impact of vegetables on cancer.,2,val,Foods That May Block Cancer Formation,0.6707585
The impact of vegetables on cancer.,3,train,Cancer and the Animal-to-Plant Protein Ratio,0.66798735
The impact of vegetables on cancer.,4,train,Prevent Breast Cancer by Any Greens Necessary,0.65290505
The impact of vegetables on cancer.,5,train,"Cancer, Interrupted: Garlic & Flavonoids",0.6306396
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,1,train,Preventing Crohn’s Disease With Diet,0.7078877
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,2,test,Dietary Treatment of Crohn's Disease,0.6926476
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,3,train,Treating Crohn’s Disease With Diet,0.6831306
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,4,test,Preventing Ulcerative Colitis with Diet,0.61845875
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,5,train,inflammatory bowel disease,0.55442345
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,1,test,Can antioxidant-rich spices counteract the effects of a high-fat meal?,0.88063014
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,2,train,Antioxidant Rich Foods With Every Meal,0.6013533
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,3,train,The Top Three DNA Protecting Spices,0.5818766
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,4,train,Carcinogen Blocking Effects of Turmeric,0.5783242
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,5,train,Antioxidants in a Pinch: Dried Herbs and Spices,0.57643783
The act of altering genetic material.,1,test,genetic manipulation,0.566375
The act of altering genetic material.,2,train,GMO,0.434335
The act of altering genetic material.,3,train,GMO,0.434335
The act of altering genetic material.,4,train,epigenetic changes,0.4116251
The act of altering genetic material.,5,train,mutation,0.4098106
Yale: please rephrase the query mentioned in your task requirements.,1,test,Yale,0.42904
Yale: please rephrase the query mentioned in your task requirements.,2,train,Harvard,0.40545517
Yale: please rephrase the query mentioned in your task requirements.,3,test,Harvard Physicians’ Study II,0.39511177
Yale: please rephrase the query mentioned in your task requirements.,4,train,China Study,0.3692652
Yale: please rephrase the query mentioned in your task requirements.,5,train,EPIC Study,0.36257863
The heart nerve control is being boosted.,1,test,Boosting Heart Nerve Control,0.77571726
The heart nerve control is being boosted.,2,train,Back in Circulation: Sciatica and Cholesterol,0.5031473
The heart nerve control is being boosted.,3,train,angina,0.46718633
The heart nerve control is being boosted.,4,train,heartbeat,0.4531027
The heart nerve control is being boosted.,5,train,How Do Nuts Prevent Sudden Cardiac Death?,0.44458175
Multiple Myeloma is related to meat intake.,1,test,Meat & Multiple Myeloma,0.8999715
Multiple Myeloma is related to meat intake.,2,train,multiple myeloma,0.79554826
Multiple Myeloma is related to meat intake.,3,train,"Turmeric Curcumin, MGUS, and Multiple Myeloma",0.7297369
Multiple Myeloma is related to meat intake.,4,train,acute myeloid leukemia,0.52691454
Multiple Myeloma is related to meat intake.,5,train,bovine leukemia virus,0.5219491
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,1,test,cinnamon,0.75220823
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,2,train,How much cinnamon is too much?,0.7253413
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,3,train,The Safer Cinnamon,0.724772
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,4,train,Update on Cinnamon for Blood Sugar Control,0.67851543
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,5,train,Oxalates in Cinnamon,0.6338391
Galactosemia is a condition involving the inability to process galactose.,1,test,galactosemia,0.79915863
Galactosemia is a condition involving the inability to process galactose.,2,val,galactose,0.636505
Galactosemia is a condition involving the inability to process galactose.,3,train,glycemic index,0.4393374
Galactosemia is a condition involving the inability to process galactose.,4,train,intestinal health,0.43571413
Galactosemia is a condition involving the inability to process galactose.,5,train,glyburide,0.43126306
What is the optimal dose of phytosterols?,1,test,Optimal Phytosterol Dose,0.8848745
What is the optimal dose of phytosterols?,2,test,Optimal Phytosterol Dose and Source,0.8553304
What is the optimal dose of phytosterols?,3,val,Optimal Phytosterol Source,0.7677541
What is the optimal dose of phytosterols?,4,train,How Phytosterols Lower Cholesterol,0.73005295
What is the optimal dose of phytosterols?,5,train,phytosterols,0.6376736
Worms are what the query pertains to.,1,test,worms,0.7164383
Worms are what the query pertains to.,2,val,tapeworms,0.59487486
Worms are what the query pertains to.,3,val,parasites,0.5339792
Worms are what the query pertains to.,4,train,Allergenic Fish Worms,0.5019316
Worms are what the query pertains to.,5,test,Chronic Headaches and Pork Tapeworms,0.47466582
Breast cancer is caused by cholesterol statin drugs.,1,test,Do Cholesterol Statin Drugs Cause Breast Cancer?,0.8576398
Breast cancer is caused by cholesterol statin drugs.,2,train,Statin Cholesterol Drugs and Invasive Breast Cancer,0.84461594
Breast cancer is caused by cholesterol statin drugs.,3,train,Breast Cancer Cells Feed on Cholesterol,0.69319046
Breast cancer is caused by cholesterol statin drugs.,4,train,Statin Muscle Toxicity,0.6349718
Breast cancer is caused by cholesterol statin drugs.,5,train,Cholesterol Feeds Breast Cancer Cells,0.61508024
What is the appropriate way to consume probiotics?,1,test,How Should I Take Probiotics?,0.9028529
What is the appropriate way to consume probiotics?,2,train,What is a good source of probiotics?,0.73893744
What is the appropriate way to consume probiotics?,3,val,"Should Probiotics Be Taken Before, During, or After Meals?",0.6657789
What is the appropriate way to consume probiotics?,4,test,Preventing the Common Cold with Probiotics?,0.6190009
What is the appropriate way to consume probiotics?,5,train,Probiotics and Diarrhea,0.6104861
What is Heme iron,1,test,heme iron,0.81581974
What is Heme iron,2,train,Iron During Pregnancy,0.573029
What is Heme iron,3,train,Risk Associated With Iron Supplements,0.5517738
What is Heme iron,4,train,Are Iron Pills Good For You?,0.520564
What is Heme iron,5,train,iron,0.45304602
Taking vitamin supplements is worth it.,1,test,Vitamin Supplements Worth Taking,0.8086972
Taking vitamin supplements is worth it.,2,train,"Vitamin D from Mushrooms, Sun, or Supplements?",0.6047215
Taking vitamin supplements is worth it.,3,train,Should We Take a Multivitamin?,0.58048284
Taking vitamin supplements is worth it.,4,train,Take Vitamin D Supplements With Meals,0.58008134
Taking vitamin supplements is worth it.,5,test,The Difficulty of Arriving at a Vitamin D Recommendation,0.5772398
ADHD is related to artificial food colors.,1,test,Artificial Food Colors and ADHD,0.8765774
ADHD is related to artificial food colors.,2,test,Food Dyes and ADHD,0.8214845
ADHD is related to artificial food colors.,3,test,Are Artificial Colors Bad for You?,0.7120133
ADHD is related to artificial food colors.,4,train,Does Caramel Color Cause Cancer?,0.6778201
ADHD is related to artificial food colors.,5,val,Are Artificial Colors Harmful?,0.6640472
The progression of cancer is not affected by saturated fat.,1,test,Saturated Fat & Cancer Progression,0.74915874
The progression of cancer is not affected by saturated fat.,2,train,Breast Cancer Survival and Trans Fat,0.5451364
The progression of cancer is not affected by saturated fat.,3,train,"Breast Cancer Survival, Butterfat, and Chicken",0.53897643
The progression of cancer is not affected by saturated fat.,4,val,The Saturated Fat Studies: Set Up to Fail,0.5293913
The progression of cancer is not affected by saturated fat.,5,train,Cancer and the Animal-to-Plant Protein Ratio,0.49823964
Annatto food colorings safety is assured.,1,test,Is annatto food coloring safe?,0.8934269
Annatto food colorings safety is assured.,2,train,food dyes,0.68038714
Annatto food colorings safety is assured.,3,train,Seeing Red No. 3: Coloring to Dye For,0.6572231
Annatto food colorings safety is assured.,4,test,Food Dyes and ADHD,0.6233501
Annatto food colorings safety is assured.,5,test,Are Artificial Colors Bad for You?,0.62224996
What are rickets?,1,test,rickets,0.88073957
What are rickets?,2,train,neurotoxins,0.51867867
What are rickets?,3,train,neuropathy,0.5038364
What are rickets?,4,train,paralysis,0.4912618
What are rickets?,5,train,Lou Gehrig's disease,0.4840144
Does white meat or dark meat have more antibiotics?,1,test,More Antibiotics In White Meat or Dark Meat?,0.899476
Does white meat or dark meat have more antibiotics?,2,train,Lowering Dietary Antibiotic Intake,0.58734435
Does white meat or dark meat have more antibiotics?,3,val,"Chicken Dioxins, Viruses, or Antibiotics?",0.57967657
Does white meat or dark meat have more antibiotics?,4,train,How To Reduce Dietary Antibiotic Intake,0.5602015
Does white meat or dark meat have more antibiotics?,5,train,Does “organic” chicken contain less arsenic?,0.54568034
What is the definition of cadaverine?,1,test,cadaverine,0.7370126
What is the definition of cadaverine?,2,train,cadavers,0.636499
What is the definition of cadaverine?,3,train,cannibalism,0.53812456
What is the definition of cadaverine?,4,val,Autopsy of Chicken Nuggets,0.46221745
What is the definition of cadaverine?,5,train,organ meats,0.41528726
What is vitamin K?,1,test,vitamin K,0.8300884
What is vitamin K?,2,train,What are the best sources of vitamin K?,0.5864491
What is vitamin K?,3,train,Update on Vitamin E,0.5079539
What is vitamin K?,4,train,vitamin D,0.505862
What is vitamin K?,5,train,What is the recommended child requirement for vitamin D?,0.504405
Sugar water may be better than apple juice.,1,test,Apple Juice May Be Worse Than Sugar Water,0.85352397
Sugar water may be better than apple juice.,2,train,apple juice,0.55786955
Sugar water may be better than apple juice.,3,train,The Fruit Whose Juice Is Healthier,0.54322517
Sugar water may be better than apple juice.,4,train,How Much Hibiscus Tea is Too Much?,0.5334869
Sugar water may be better than apple juice.,5,train,Erythritol May Be a Sweet Antioxidant,0.5332588
Veal is a type of meat derived from calves.,1,test,veal,0.5940282
Veal is a type of meat derived from calves.,2,train,Lead Poisoning Risk From Venison,0.41610146
Veal is a type of meat derived from calves.,3,train,How Does Meat Cause Inflammation?,0.4086414
Veal is a type of meat derived from calves.,4,train,venison,0.40137511
Veal is a type of meat derived from calves.,5,train,How Animal Proteins May Trigger Autoimmune Disease,0.38887244
Doctors responded to being named a leading killer in a certain way.,1,test,How Doctors Responded to Being Named a Leading Killer,0.914842
Doctors responded to being named a leading killer in a certain way.,2,train,What Diet Should Physicians Recommend?,0.65546083
Doctors responded to being named a leading killer in a certain way.,3,train,Our Number One Killer Can Be Stopped,0.6257436
Doctors responded to being named a leading killer in a certain way.,4,train,Evidence-Based Medicine or Evidence-Biased?,0.622446
Doctors responded to being named a leading killer in a certain way.,5,test,Harvard Physicians’ Study II,0.62200737
Cholesterol may be related to lower back pain.,1,test,Cholesterol and Lower Back Pain,0.9431426
Cholesterol may be related to lower back pain.,2,train,lower back pain,0.8574255
Cholesterol may be related to lower back pain.,3,train,Back in Circulation: Sciatica and Cholesterol,0.80173266
Cholesterol may be related to lower back pain.,4,train,back pain,0.79972947
Cholesterol may be related to lower back pain.,5,train,sciatica,0.7032356
Heart disease prevention faces obstacles.,1,test,Barriers to Heart Disease Prevention,0.76897556
Heart disease prevention faces obstacles.,2,train,One in a Thousand: Ending the Heart Disease Epidemic,0.6215699
Heart disease prevention faces obstacles.,3,train,Eliminating 90% of Heart Disease Risk,0.5933727
Heart disease prevention faces obstacles.,4,train,How to Prevent Heart Disease,0.5698408
Heart disease prevention faces obstacles.,5,train,We Can End the Heart Disease Epidemic,0.5625923
Citrus has the potential to assist in maintaining warm hands.,1,test,How Citrus Might Help Keep Your Hands Warm,0.8889607
Citrus has the potential to assist in maintaining warm hands.,2,test,Keeping Your Hands Warm With Citrus,0.87779
Citrus has the potential to assist in maintaining warm hands.,3,val,Citrus to Reduce Muscle Fatigue,0.6707485
Citrus has the potential to assist in maintaining warm hands.,4,train,cold hands,0.66509545
Citrus has the potential to assist in maintaining warm hands.,5,val,Reducing Muscle Fatigue With Citrus,0.65542316
Autophagy is exploited to extend lifespan.,1,test,Exploiting Autophagy to Live Longer,0.88012755
Autophagy is exploited to extend lifespan.,2,train,autophagy,0.79128206
Autophagy is exploited to extend lifespan.,3,train,Eating To Extend Our Lifespan,0.5268668
Autophagy is exploited to extend lifespan.,4,val,Living Longer by Reducing Leucine Intake,0.5149063
Autophagy is exploited to extend lifespan.,5,train,cell death,0.505375
salmon uses?,1,test,salmon,0.6343896
salmon uses?,2,train,The Problem with Organic Salmon,0.5507796
salmon uses?,3,train,Is Cod Liver Oil Good For You?,0.5350837
salmon uses?,4,val,cod liver oil,0.49963847
salmon uses?,5,train,fish oil,0.49413297
Vegetables are pitted against cancer.,1,test,Veggies vs. Cancer,0.6815221
Vegetables are pitted against cancer.,2,train,Vegetables Versus Breast Cancer,0.60542434
Vegetables are pitted against cancer.,3,train,How Phytates Fight Cancer Cells,0.59965104
Vegetables are pitted against cancer.,4,val,#1 Anticancer Vegetable,0.5836263
Vegetables are pitted against cancer.,5,train,A Low Methionine Diet May Help Starve Cancer Cells,0.5725846
What is Fosamax used for?,1,test,Fosamax,0.6628367
What is Fosamax used for?,2,train,Flaxseeds & Breast Cancer Prevention,0.5242825
What is Fosamax used for?,3,train,Flax and Breast Cancer Prevention,0.496426
What is Fosamax used for?,4,train,Flax and Breast Cancer Survival,0.47102496
What is Fosamax used for?,5,train,Flaxseed vs. Prostate Cancer,0.45470256
Can you provide information on Finland?,1,test,Finland,0.7211769
Can you provide information on Finland?,2,train,Sweden,0.46943548
Can you provide information on Finland?,3,train,Norway,0.4175061
Can you provide information on Finland?,4,train,Slovenia,0.32022685
Can you provide information on Finland?,5,train,Denmark,0.31716686
What is neurocysticercosis?,1,test,neurocysticercosis,0.92302907
What is neurocysticercosis?,2,train,cysticercosis,0.8385307
What is neurocysticercosis?,3,train,brain parasites,0.6665263
What is neurocysticercosis?,4,val,eye parasites,0.60437936
What is neurocysticercosis?,5,train,Brain Parasites in Meat,0.59207976
Czechoslovakia was a country in Central Europe.,1,test,Czechoslovakia,0.7060683
Czechoslovakia was a country in Central Europe.,2,train,Slovakia,0.4833923
Czechoslovakia was a country in Central Europe.,3,train,Poland,0.39418662
Czechoslovakia was a country in Central Europe.,4,train,Slovenia,0.38056034
Czechoslovakia was a country in Central Europe.,5,train,cadmium,0.25937337
Food dyes have a potential relationship with ADHD.,1,test,Food Dyes and ADHD,0.92572534
Food dyes have a potential relationship with ADHD.,2,test,Artificial Food Colors and ADHD,0.8602004
Food dyes have a potential relationship with ADHD.,3,train,food dyes,0.7320951
Food dyes have a potential relationship with ADHD.,4,test,Are Artificial Colors Bad for You?,0.70370376
Food dyes have a potential relationship with ADHD.,5,test,Is annatto food coloring safe?,0.69447505
There have been incidents involving unexpected or undesirable events that cause harm or damage.,1,test,Chernobyl,0.4310615
There have been incidents involving unexpected or undesirable events that cause harm or damage.,2,train,food recalls,0.426337
There have been incidents involving unexpected or undesirable events that cause harm or damage.,3,test,accidents,0.4250185
There have been incidents involving unexpected or undesirable events that cause harm or damage.,4,train,Salmonella,0.39019978
There have been incidents involving unexpected or undesirable events that cause harm or damage.,5,train,Is Artificial Butter Flavor Harmful?,0.38717014
Fava beans.,1,test,fava beans,0.9765907
Fava beans.,2,train,garbanzo beans,0.7559169
Fava beans.,3,val,black beans,0.72477514
Fava beans.,4,train,broad beans,0.71451414
Fava beans.,5,train,green beans,0.69082
The cause of Americas obesity problem is what?,1,test,What’s Driving America’s Obesity Problem?,0.72782874
The cause of Americas obesity problem is what?,2,train,Does Eating Obesity Cause Obesity?,0.62011945
The cause of Americas obesity problem is what?,3,train,The Spillover Effect Links Obesity to Diabetes,0.5440937
The cause of Americas obesity problem is what?,4,train,Metabolic Syndrome and Plant-Based Diets,0.49105167
The cause of Americas obesity problem is what?,5,train,Cancer Reversal Through Diet?,0.4828278
What is molasses?,1,test,molasses,0.831244
What is molasses?,2,val,carboxy-methyl cellulose,0.38520023
What is molasses?,3,train,Can Oatmeal Help Fatty Liver Disease?,0.37982094
What is molasses?,4,test,galactosemia,0.37888658
What is molasses?,5,train,Sugar vs. Corn Syrup,0.37057525
Is fog harmful to fish?,1,test,Fish Fog,0.7705625
Is fog harmful to fish?,2,train,Fish Intake Associated With Brain Shrinkage,0.56003296
Is fog harmful to fish?,3,train,Is Fish Oil Just Snake Oil?,0.5385284
Is fog harmful to fish?,4,train,How Long to Avoid Fish Before Conception?,0.5307987
Is fog harmful to fish?,5,train,Are neurotoxins only present in blue-green algae?,0.527351
"Excessive iodine can have negative consequences, just like insufficient iodine.",1,test,Too Much Iodine Can Be as Bad as Too Little,0.91493654
"Excessive iodine can have negative consequences, just like insufficient iodine.",2,train,Avoiding Iodine Deficiency,0.8353126
