test_query,most_similar_beir_queries,similarity_scores,max_similarity,mean_similarity
What is tempeh?,"['tempeh', 'Tofu vs. Tempeh', 'tahini']",[0.86278766 0.56888366 0.52979875],0.86278766,0.13200283
Dragons Blood is being sought after.,"[""Dragon's Blood"", ""dragon's blood"", 'blood-letting']",[0.6830267 0.6830267 0.5524697],0.6830267,0.097071275
What is Lindane?,"['Lindane', 'lycopene', 'lutein']",[0.8570258  0.43074214 0.4303987 ],0.8570258,0.12736559
The transition from the lab to the track.,"['Out of the Lab Onto the Track', 'cycling', 'treadmill']",[0.84318507 0.39451718 0.36791837],0.84318507,0.057053797
Phytates are used to treat cancer.,"['Phytates for the Treatment of Cancer', 'Phytates for the Prevention of Cancer', 'Phytates for Rehabilitating Cancer Cells']",[0.9158732  0.88235325 0.8388119 ],0.9158732,0.19239789
The Bush administration was in power for eight years.,"['Bush administration', 'Obama', 'Turning the Clock Back 14 Years']",[0.6100137  0.3881896  0.33222312],0.6100137,0.008662925
"""What is milk?""","['milk', 'breast milk', 'milk chocolate']",[0.6290693  0.52339864 0.5088624 ],0.6290693,0.12366787
Is it true that organic foods are safer?,"['Are Organic Foods Safer?', 'Are Organic Foods Healthier?', 'Are Organic Foods More Nutritious?']",[0.94698715 0.8633944  0.8136371 ],0.94698715,0.16053833
Tumors can be deprived of their blood supply.,"['Starving Tumors of Their Blood Supply', 'blood cancer', 'Anti-Angiogenesis: Cutting Off Tumor Supply Lines']",[0.8343446  0.60404634 0.55618155],0.8343446,0.066325836
Do eggs affect arterial function?,"['Eggs and Arterial Function', 'What Do Eggs Do To Our Arteries?', 'Eggs vs. Cigarettes in Atherosclerosis']",[0.9277974  0.8940835  0.65776587],0.9277974,0.16507454
The impact of vegetables on cancer.,"['Veggies vs. Cancer', 'Vegetables Versus Breast Cancer', 'Foods That May Block Cancer Formation']",[0.84067225 0.82213056 0.771575  ],0.84067225,0.19680503
The dietary treatment for Crohns Disease involves making specific changes to ones diet.,"['Treating Crohn’s Disease With Diet', ""Dietary Treatment of Crohn's Disease"", 'Preventing Crohn’s Disease With Diet']",[0.81380856 0.78615344 0.76777333],0.81380856,0.07916335
Antioxidant-rich spices can neutralize the consequences of consuming a high-fat meal.,"['Can antioxidant-rich spices counteract the effects of a high-fat meal?', 'Antioxidants in a Pinch: Dried Herbs and Spices', 'Food as Medicine: Preventing and Treating the Most Dreaded Diseases with Diet']",[0.947721  0.6778486 0.648772 ],0.947721,0.17219736
The act of altering genetic material.,"['genetic manipulation', 'mutation', 'epigenetic changes']",[0.6358515  0.52454686 0.49498895],0.6358515,0.09560643
Yale: please rephrase the query mentioned in your task requirements.,"['Yale', 'Harvard', 'China Study']",[0.4810946  0.4338854  0.37693623],0.4810946,0.08003819
The heart nerve control is being boosted.,"['Boosting Heart Nerve Control', 'cardiac health', 'Heart disease: there is a cure']",[0.8401747  0.65418243 0.57653606],0.8401747,0.103884354
Multiple Myeloma is related to meat intake.,"['Meat & Multiple Myeloma', ""Vegetarian's Myelopathy"", 'How Tumors Use Meat to Grow: Xeno-Autoantibodies']",[0.9381788 0.7293297 0.6304355],0.9381788,0.16203742
Cinnamon is a spice widely used for its distinctive flavor in various dishes and beverages.,"['cinnamon', 'The Safer Cinnamon', 'Update on Cinnamon for Blood Sugar Control']",[0.7256418  0.70174795 0.6658923 ],0.7256418,0.08594657
Galactosemia is a condition involving the inability to process galactose.,"['galactosemia', 'galactose', 'lipotoxicty']",[0.84649205 0.6140012  0.44446644],0.84649205,0.116480194
What is the optimal dose of phytosterols?,"['Optimal Phytosterol Dose', 'Optimal Phytosterol Dose and Source', 'Optimal Phytosterol Source']",[0.92891383 0.92580664 0.78392136],0.92891383,0.1344977
Worms are what the query pertains to.,"['worms', 'tapeworms', 'tongue worm']",[0.7538456 0.6326707 0.595438 ],0.7538456,0.10939682
Breast cancer is caused by cholesterol statin drugs.,"['Do Cholesterol Statin Drugs Cause Breast Cancer?', 'Statin Cholesterol Drugs and Invasive Breast Cancer', 'Cholesterol Feeds Breast Cancer Cells']",[0.9294423  0.91578615 0.7893013 ],0.9294423,0.14083233
What is the appropriate way to consume probiotics?,"['How Should I Take Probiotics?', 'probiotics', 'What is a good source of probiotics?']",[0.9275338 0.7266151 0.7170307],0.9275338,0.12633824
What is Heme iron,"['heme iron', 'iron', 'Iron During Pregnancy']",[0.86817646 0.5688283  0.47650868],0.86817646,0.077104844
Taking vitamin supplements is worth it.,"['Vitamin Supplements Worth Taking', 'Should We Take a Multivitamin?', 'Are Multivitamins Just a Waste of Money?']",[0.7615566  0.66210604 0.6410943 ],0.7615566,0.13844208
ADHD is related to artificial food colors.,"['Artificial Food Colors and ADHD', 'Food Dyes and ADHD', 'Are Artificial Colors Bad for You?']",[0.9406496  0.86823356 0.6067665 ],0.9406496,0.15574166
The progression of cancer is not affected by saturated fat.,"['Saturated Fat & Cancer Progression', 'Cancer Reversal Through Diet?', 'Breast Cancer Survival and Trans Fat']",[0.8230475 0.6415957 0.6291265],0.8230475,0.11481373
Annatto food colorings safety is assured.,"['Is annatto food coloring safe?', 'food dyes', 'Food Dyes and ADHD']",[0.9193274 0.6318302 0.5695838],0.9193274,0.11787931
What are rickets?,"['rickets', 'bone fractures', 'amputations']",[0.8605344  0.47559255 0.39661092],0.8605344,0.11206878
Does white meat or dark meat have more antibiotics?,"['More Antibiotics In White Meat or Dark Meat?', 'How Does Meat Cause Inflammation?', 'What Is the Healthiest Meat?']",[0.95179707 0.6254746  0.6088619 ],0.95179707,0.18184143
What is the definition of cadaverine?,"['cadaverine', 'cadavers', 'cannibalism']",[0.8105954 0.6537963 0.435965 ],0.8105954,0.11606873
What is vitamin K?,"['vitamin K', 'What are the best sources of vitamin K?', 'vitamins']",[0.8545024  0.72192675 0.6368977 ],0.8545024,0.1828336
Sugar water may be better than apple juice.,"['Apple Juice May Be Worse Than Sugar Water', 'apple juice', 'Best Fruit Juice']",[0.8556723  0.60871303 0.5685957 ],0.8556723,0.1416159
Veal is a type of meat derived from calves.,"['veal', 'venison', 'vegetable protein']",[0.78498125 0.58364016 0.5259718 ],0.78498125,0.11219162
Doctors responded to being named a leading killer in a certain way.,"['How Doctors Responded to Being Named a Leading Killer', 'medical ethics', 'Physician-assisted suicide? When doctors give nutrition advice']",[0.9478978 0.4849857 0.4617003],0.9478978,0.09625581
Cholesterol may be related to lower back pain.,"['Cholesterol and Lower Back Pain', 'Back in Circulation: Sciatica and Cholesterol', 'lower back pain']",[0.9607377  0.730536   0.64052534],0.9607377,0.10644818
Heart disease prevention faces obstacles.,"['Barriers to Heart Disease Prevention', 'We Can End the Heart Disease Epidemic', 'One in a Thousand: Ending the Heart Disease Epidemic']",[0.9205002  0.7697747  0.76643753],0.9205002,0.11994172
Citrus has the potential to assist in maintaining warm hands.,"['How Citrus Might Help Keep Your Hands Warm', 'Keeping Your Hands Warm With Citrus', 'Citrus to Reduce Muscle Fatigue']",[0.87883615 0.8601382  0.6315844 ],0.87883615,0.1569155
Autophagy is exploited to extend lifespan.,"['Exploiting Autophagy to Live Longer', 'autophagy', 'Eating To Extend Our Lifespan']",[0.9381381  0.80145514 0.52043587],0.9381381,0.07885492
salmon uses?,"['salmon', 'The Problem with Organic Salmon', 'fish oil']",[0.7860741  0.6729026  0.62808233],0.7860741,0.20180994
Vegetables are pitted against cancer.,"['Veggies vs. Cancer', 'Vegetables Versus Breast Cancer', '#1 Anticancer Vegetable']",[0.8937185 0.8035073 0.7727803],0.8937185,0.20636562
What is Fosamax used for?,"['Fosamax', 'folate', 'in vitro studies']",[0.7060749 0.4645231 0.4605006],0.7060749,0.13553616
Can you provide information on Finland?,"['Finland', 'Sweden', 'Norway']",[0.7196119 0.509663  0.5088366],0.7196119,0.067493334
What is neurocysticercosis?,"['neurocysticercosis', 'cysticercosis', 'brain disease']",[0.9146097 0.7101369 0.5375562],0.9146097,0.10532576
Czechoslovakia was a country in Central Europe.,"['Czechoslovakia', 'Slovakia', 'Poland']",[0.7282238 0.5700252 0.4477679],0.7282238,0.028020082
Food dyes have a potential relationship with ADHD.,"['Food Dyes and ADHD', 'Artificial Food Colors and ADHD', 'food dyes']",[0.9608597  0.8473859  0.65391266],0.9608597,0.15124479
There have been incidents involving unexpected or undesirable events that cause harm or damage.,"['accidents', 'head trauma', 'safety limits']",[0.57980216 0.46029967 0.43439424],0.57980216,0.059060924
Fava beans.,"['fava beans', 'green beans', 'broad beans']",[0.98414326 0.769762   0.761316  ],0.98414326,0.19287153
The cause of Americas obesity problem is what?,"['What’s Driving America’s Obesity Problem?', 'obesity', 'Does Eating Obesity Cause Obesity?']",[0.816568  0.6934812 0.6214063],0.816568,0.17443693
What is molasses?,"['molasses', 'corn syrup', 'maple syrup']",[0.79959655 0.5021914  0.48404318],0.79959655,0.14876428
Is fog harmful to fish?,"['Fish Fog', 'Is Liquid Smoke Safe?', 'How Long to Avoid Fish Before Conception?']",[0.76825243 0.53268874 0.5055495 ],0.76825243,0.10862062
"Excessive iodine can have negative consequences, just like insufficient iodine.","['Too Much Iodine Can Be as Bad as Too Little', 'Avoiding Iodine Deficiency', 'Should we take iodine supplements?']",[0.890669  0.7156987 0.7096368],0.890669,0.13671894
Avocados are being referred to/requested.,"['avocados', 'Are Avocados Good for You?', 'Are Avocados Good for You?']",[0.6824497 0.5596068 0.5596068],0.6824497,0.16165504
Does milk have a positive impact on our bone health?,"['Is Milk Good for Our Bones?', 'Does Animal Protein Cause Osteoporosis?', 'Is Protein Bad to the Bone?']",[0.94499975 0.6997787  0.6889105 ],0.94499975,0.15141758
Mevacor is a name of a drug.,"['Mevacor', 'methylmalonic acid', 'sodium benzoate']",[0.81018066 0.38128263 0.36329734],0.81018066,0.1015389
Identify the barriers that hinder the prevention of heart disease.,"['Barriers to Heart Disease Prevention', 'Blocking the First Step of Heart Disease', 'How to Prevent Heart Disease']",[0.95831764 0.7092645  0.6989928 ],0.95831764,0.1068936
The study known as Harvard Physicians’ Study II.,"['Harvard Physicians’ Study II', 'NIH-AARP study', 'American College of Lifestyle Medicine']",[0.9174001  0.62488556 0.5818992 ],0.9174001,0.1532126
Should I snack or not?,"['To Snack or Not to Snack?', 'Are Raisins Good Snacks for Kids?', 'second meal effect']",[0.94159544 0.46576014 0.46303797],0.94159544,0.078603625
Industrial toxins refer to harmful substances produced by industries.,"['industrial toxins', 'industrial pollutants', 'natural toxins']",[0.8985589  0.75009584 0.62633276],0.8985589,0.1040357
Prunes are available.,"['prunes', 'pomegranates', 'pears']",[0.81630385 0.58606327 0.5591394 ],0.81630385,0.14761628
What is Splenda?,"['Splenda', 'spirulina', 'sulforaphane']",[0.8707323  0.5786624  0.49389082],0.8707323,0.18423665
Leucine is a type of amino acid.,"['leucine', 'Living Longer by Reducing Leucine Intake', 'leptin']",[0.7597473 0.5592632 0.4710124],0.7597473,0.1156722
Clinical evidence demonstrates the impact of flaxseeds on breast cancer survival.,"['Flaxseeds & Breast Cancer Survival: Clinical Evidence', 'Flaxseeds & Breast Cancer Survival: Epidemiological Evidence', 'Flaxseeds & Breast Cancer Prevention']",[0.9809933 0.9534075 0.9391177],0.9809933,0.16909927
Pesticides are substances used to control or eliminate pests.,"['pesticides', 'insecticides', 'Can Pesticides Be Rinsed Off?']",[0.7951528 0.7215971 0.6929577],0.7951528,0.07950845
The Dietary Theory of Alzheimers is not significantly altered in its meaning.,"[""Dietary Theory of Alzheimer's"", 'Preventing Alzheimer’s Disease with Diet', 'Preventing Alzheimer’s with Lifestyle Changes']",[0.92232716 0.82184744 0.74777275],0.92232716,0.15288782
Trans fats are a type of fat.,"['trans fats', 'Trans Fat in Animal Fat', 'trans fat']",[0.842273   0.78130555 0.76420397],0.842273,0.12154502
The lawsuit against the meat industry is responsible for exposing the connection between chicken and salmonella.,"['Chicken Salmonella Thanks to Meat Industry Lawsuit', 'Why Is Selling Salmonella-Tainted Chicken Legal?', 'Salmonella in Chicken & Turkey: Deadly But Not Illegal']",[0.86694163 0.64643794 0.64203745],0.86694163,0.12223851
Any feed is unsafe.,"['Unsafe at Any Feed', 'feed additives', 'Foodborne Rabies']",[0.8746011 0.4709557 0.4222672],0.8746011,0.118779495
It is unsafe in any way or manner for any type of feed.,"['Unsafe at Any Feed', 'Mad Cow California: Is the Milk Supply Safe?', 'Lead Poisoning Risk From Venison']",[0.82832044 0.435006   0.42938906],0.82832044,0.08767287
There is a link between saturated fat and the progression of cancer.,"['Saturated Fat & Cancer Progression', 'Why Deep Fried Foods May Cause Cancer', 'Breast Cancer Survival and Trans Fat']",[0.94403225 0.7015473  0.6935868 ],0.94403225,0.17046204
What is the secret of the Kuna Indians?,"['Kuna Indian Secret', 'Kuna Indians', 'Native Americans']",[0.7811474  0.7750627  0.51863164],0.7811474,0.1041355
A diet can help in preventing strokes.,"['Preventing Strokes with Diet', 'How to Prevent a Stroke', 'PREDIMED: Does Eating Nuts Prevent Strokes?']",[0.9417538 0.7569494 0.7107136],0.9417538,0.13630146
Seafood is being referred to.,"['seafood', 'seafood workers', 'fish']",[0.82294965 0.7003175  0.6160008 ],0.82294965,0.15434276
The Atkins diet is a low-carbohydrate weight loss program.,"['Atkins diet', 'Plant-Based Atkins Diet', 'Eco-Atkins diet']",[0.8062788 0.7260077 0.684986 ],0.8062788,0.116702706
Turmeric Curcumin is used for treating Osteoarthritis.,"['Turmeric Curcumin and Osteoarthritis', 'Turmeric Curcumin and Rheumatoid Arthritis', 'Topical Application of Turmeric Curcumin for Cancer']",[0.90463895 0.8582711  0.7773525 ],0.90463895,0.14149418
"Tumors are deprived of their blood supply, causing them to starve.","['Starving Tumors of Their Blood Supply', 'How Tumors Use Meat to Grow', 'Starving Cancer with Methionine Restriction']",[0.8026263 0.6358784 0.5256401],0.8026263,0.11716674
What are some foods that can help with glaucoma?,"['Foods for Glaucoma', 'Dietary Treatment of Glaucoma', 'Foods for Macular Degeneration']",[0.8809527  0.8235036  0.77260435],0.8809527,0.1780997
The concept of dietary scoring.,"['dietary scoring', 'Calculate Your Healthy Eating Score', 'NutritionFacts.org: the first month']",[0.91688365 0.698043   0.6779865 ],0.91688365,0.17435564
Carrageenan is a substance and its meaning should not be altered.,"['Should Carrageenan Be Avoided?', 'Is Carrageenan Safe?', 'carrageenan']",[0.72955763 0.71344763 0.6243732 ],0.72955763,0.13030027
Adenovirus 36 causes illnesses.,"['adenovirus 36', 'Infectobesity: Adenovirus 36 and Childhood Obesity', 'viral infections']",[0.89454913 0.7151974  0.51974064],0.89454913,0.087273605
What is myelopathy?,"['myelopathy', ""Vegetarian's Myelopathy"", 'neuropathy']",[0.88885725 0.62526923 0.58179724],0.88885725,0.11551018
The Enzyme Myth is true at times.,"['Sometimes the Enzyme Myth Is True', 'enzymes', 'amylase']",[0.97329533 0.6672946  0.5613264 ],0.97329533,0.16322276
A scoring system is used to evaluate diets.,"['dietary scoring', 'Calculate Your Healthy Eating Score', 'The Best Foods: test your nutrition knowledge']",[0.85392874 0.6600186  0.62320185],0.85392874,0.15673986
The pumpkin is being referred to.,"['pumpkin', 'pumpkin seeds', 'Healthy Pumpkin Pie']",[0.7790748  0.58158815 0.5512829 ],0.7790748,0.1028438
There is a connection between acne and cancer.,"['Acne & Cancer Connection', 'Why the Egg-Cancer Link?', 'Cancer Prevention and Treatment May Be the Same Thing']",[0.9159543  0.57549036 0.5679785 ],0.9159543,0.13261768
Does the size of stool affect the risk of breast cancer?,"['Stool Size and Breast Cancer Risk', 'Breast Cancer and Constipation', 'Fiber vs. Breast Cancer']",[0.93407387 0.6431439  0.60828996],0.93407387,0.12226953
Arkansas is the subject of the following query.,"['Arkansas', 'Texas', 'Oregon']",[0.70208335 0.46850616 0.38909966],0.70208335,0.031852968
Rapamycin is a type of drug.,"['rapamycin', 'antibiotics', 'penicillin']",[0.8813869  0.5298313  0.47689018],0.8813869,0.13556983
"Which is superior, fresh fruit or frozen fruit?","['Fresh fruit versus frozen--which is better?', 'frozen fruit', 'The Fruit Whose Juice Is Healthier']",[0.93697584 0.70866585 0.59455156],0.93697584,0.11029368
Bronchiolitis obliterans is a condition involving inflammation and obstruction of the bronchioles.,"['bronchiolitis obliterans', 'lung disease', 'respiratory infections']",[0.8967562  0.5304215  0.50087416],0.8967562,0.071954824
The impact of eggs on arterial function is being studied.,"['Eggs and Arterial Function', 'What Do Eggs Do To Our Arteries?', 'Eggs vs. Cigarettes in Atherosclerosis']",[0.95379573 0.84140736 0.71720266],0.95379573,0.13542147
There were accidents.,"['accidents', 'head trauma', 'safety limits']",[0.81646585 0.4954768  0.42911762],0.81646585,0.074363835
Whiting is a type of fish.,"['whiting', 'fish', 'Fish and Diabetes']",[0.7425344  0.4658454  0.40385112],0.7425344,0.081196256
Zoloft is a medication.,"['Zoloft', 'benzodiazepines', 'Prozac']",[0.74909824 0.6090246  0.58183587],0.74909824,0.07635367
Hyperactivity refers to excessive levels of activity or restlessness.,"['hyperactivity', 'Diet & Hyperactivity', 'ADHD']",[0.73308074 0.5485107  0.42359787],0.73308074,0.03885748
Blocking the supply lines of tumors is known as anti-angiogenesis.,"['Anti-Angiogenesis: Cutting Off Tumor Supply Lines', 'antiangiogenesis', 'Slowing the Growth of Cancer']",[0.8467079 0.658925  0.6289416],0.8467079,0.09494572
Carcinogens are substances that can cause cancer.,"['carcinogens', ""President's Cancer Panel Report on Environmental Risk"", 'Is Liquid Smoke Flavoring Carcinogenic?']",[0.75663865 0.6290177  0.6030278 ],0.75663865,0.14588797
Chicken Nuggets contain what substance?,"['What is Actually in Chicken Nuggets?', 'Autopsy of Chicken Nuggets', 'What Is Really in Hot Dogs?']",[0.8711122  0.64292395 0.589543  ],0.8711122,0.20428057
"Bone fractures can be rephrased as ""Fractures occur in bones.""","['bone fractures', 'bone health', 'bone cancer']",[0.68438786 0.52548766 0.44804037],0.68438786,0.05007762
Polypropylene plastic is a type of plastic.,"['polypropylene plastic', 'polyethylene plastic', 'polycarbonate plastic']",[0.8210157  0.7597197  0.71749085],0.8210157,0.041994188
Cheese mites and maggots both exist as pests in cheese.,"['Cheese Mites and Maggots', 'cheese mites', 'maggots']",[0.8518361 0.686527  0.5223437],0.8518361,0.103818126
It is possible to eat healthy while on a budget.,"['Eating Healthy on a Budget', 'Eating Healthy on the Cheap', 'The Healthiest Diet for Weight Control']",[0.87507814 0.8186939  0.49615115],0.87507814,0.08780351
What are the principles and guidelines that govern the conduct of healthcare professionals in relation to moral and ethical considerations?,"['medical ethics', 'Physicians Committee for Responsible Medicine', 'medical profession']",[0.73235166 0.5072049  0.44349456],0.73235166,0.07218778
Unhealthy food is also known as junk food.,"['junk food', 'Our Tax Dollars Subsidize Unhealthy Foods', 'Food as Medicine: Preventing and Treating the Most Dreaded Diseases with Diet']",[0.5839654  0.54837114 0.5282418 ],0.5839654,0.12858744
The evidence is converging.,"['Convergence of Evidence', 'Americans Are Living Longer but Sicker Lives', 'Evidence-Based Medicine or Evidence-Biased?']",[0.7093302  0.3120282  0.29865104],0.7093302,0.06098734
What is the definition of eggnog?,"['eggnog', 'Egg McMuffin', 'Eggbeaters']",[0.7569322  0.48351216 0.4661259 ],0.7569322,0.15515079
Can you provide information about DHA?,"['DHA', 'DHEA', 'omega-3 fatty acids']",[0.82310915 0.59518987 0.51052296],0.82310915,0.18119363
Chanterelle mushrooms are referred to as what?,"['chanterelle mushrooms', 'oyster mushrooms', 'portobello mushrooms']",[0.8989089  0.65621597 0.63766897],0.8989089,0.13686119
The comparison between aluminum in vaccines and aluminum in food.,"['Aluminum in Vaccines vs. Food', 'Mercury in Vaccinations vs. Tuna', 'aluminum']",[0.9432616  0.54824    0.50638187],0.9432616,0.13194597
Where is pumpkin found?,"['pumpkin', 'pumpkin seeds', 'butternut squash']",[0.7165239 0.6244848 0.536663 ],0.7165239,0.13431221
What about seafood?,"['seafood', 'seafood workers', 'How Seafood Can Impact Brain Development']",[0.7865566  0.58914334 0.58911693],0.7865566,0.17928961
The state called Arkansas.,"['Arkansas', 'Texas', 'Oregon']",[0.73463285 0.4928713  0.41723472],0.73463285,0.058624975
What is the frequency of bowel movements?,"['Bowel Movement Frequency', 'How Many Bowel Movements Should You Have Every Day?', 'bowel movements']",[0.9084203  0.78160316 0.7040818 ],0.9084203,0.10059891
"The dietary guidelines cover a range of topics, including the consumption of dairy products and berries.","['Dietary Guidelines: From Dairies to Berries', 'dietary guidelines', 'Nutrient Blocking Effects of Dairy']",[0.83818614 0.7132274  0.56860054],0.83818614,0.1512159
Grapes are needed.,"['grapes', 'Concord grapes', 'champagne grapes']",[0.75917125 0.6578852  0.6530821 ],0.75917125,0.15079558
What is a fruit that is better than goji berries?,"['goji berries', 'Better Than Goji Berries', 'Are Goji Berries Good for You?']",[0.8097117  0.79959035 0.72795415],0.8097117,0.18342623
Pork is the subject of the query.,"['pork', 'National Pork Board', 'National Pork Producers Council']",[0.7863511 0.752373  0.7350806],0.7863511,0.16218646
Drinking coffee has an effect on artery function.,"['Coffee and Artery Function', 'Does caffeine impair endothelial function in our arteries?', 'Coffee and Mortality']",[0.9218063  0.75003195 0.6580625 ],0.9218063,0.15753445
Heart nerve control is being enhanced.,"['Boosting Heart Nerve Control', 'Heart disease: there is a cure', 'cardiac health']",[0.8822753  0.5634534  0.55352986],0.8822753,0.07408589
Chronic headaches may be caused by pork parasites.,"['Chronic Headaches and Pork Parasites', 'Chronic Headaches and Pork Tapeworms', 'Brain Parasites in Meat']",[0.9515365 0.8552332 0.6671274],0.9515365,0.13460873
Common diseases are combated by consuming more than just one apple per day.,"['More Than an Apple a Day: Combating Common Diseases', 'More Than an Apple a Day: Combating Common Diseases', 'The Healthiest Apple']",[0.86068594 0.86068594 0.68588334],0.86068594,0.18703121
Doctors were named a leading killer and their response was observed.,"['How Doctors Responded to Being Named a Leading Killer', 'Uprooting the Leading Causes of Death', 'Uprooting the Leading Causes of Death']",[0.8733467 0.5333689 0.5333689],0.8733467,0.11293761
There is hormonal dysfunction.,"['hormonal dysfunction', 'hormones', 'sexual dysfunction']",[0.85801387 0.6956229  0.6289934 ],0.85801387,0.11672835
What is a hernia?,"['hernia', 'hiatal hernia', 'abdominal fat']",[0.8058193  0.66887975 0.42059717],0.8058193,0.09752398
The new recommendations shed some light on Vitamin D.,"['Vitamin D: Shedding some light on the new recommendations', 'Vitamin D Recommendations Changed', 'The Difficulty of Arriving at a Vitamin D Recommendation']",[0.9379526 0.8574603 0.8404686],0.9379526,0.17422688
Low-carb diets are often effective for weight loss.,"['low-carb diets', 'Low Carb Diets Found to Feed Heart Disease', 'low-fat diets']",[0.82080376 0.6939992  0.66237104],0.82080376,0.0922772
The enlargement of the prostate can be treated with diet.,"['Treating an Enlarged Prostate With Diet', 'prostate health', 'Some Prostates Are Larger than Others']",[0.8919178 0.6649401 0.6175065],0.8919178,0.1526273
Pineapples are what the query is referring to.,"['pineapples', 'pineapple juice', 'pine nuts']",[0.7625617  0.61425257 0.60535955],0.7625617,0.16346942
Kiwifruit can be used to treat Irritable Bowel Syndrome.,"['Kiwifruit for Irritable Bowel Syndrome', 'Kiwi Fruit for Irritable Bowel Syndrome', 'Kiwifruit for Insomnia']",[0.9342569 0.8889008 0.6184329],0.9342569,0.12918459
Are worms considered to be a type of insect?,"['insects', 'worms', 'tapeworms']",[0.6081581  0.5993521  0.58916867],0.6081581,0.0780631
Olive oil has an effect on artery function.,"['Olive Oil and Artery Function', 'Does Coconut Oil Clog Arteries?', 'Fatty Meals May Impair Artery Function']",[0.9654168  0.69134265 0.6593547 ],0.9654168,0.16706614
What is peanut butter?,"['peanut butter', 'Is Peanut Butter Good for You?', 'butter']",[0.7326732  0.72598696 0.55418   ],0.7326732,0.14245614
Avocados have health benefits.,"['Are Avocados Good for You?', 'Are Avocados Good for You?', 'Are Avocados Bad for You?']",[0.82955605 0.82955605 0.75398123],0.82955605,0.18466409
How is lard made?,"['lard', 'recipes', 'What is ‘Meat Glue’?']",[0.7013117  0.4185453  0.40553436],0.7013117,0.12318436
The person is in a coma.,"['coma', 'Resuscitating Medicare', 'Avoiding Epilepsy Through Diet']",[0.56137425 0.4000219  0.32693464],0.56137425,0.025290899
There is maple syrup available.,"['maple syrup', 'corn syrup', 'brown rice syrup']",[0.76748013 0.60566694 0.5495174 ],0.76748013,0.12071515
"Pepper and turmeric are added to V8 juice, right?","['What about pepper plus turmeric in V8 juice?', 'Why Pepper Boosts Turmeric Blood Levels', 'turmeric']",[0.86639255 0.5536921  0.51910365],0.86639255,0.13981813
Diet can be used to counteract the effects of dioxins.,"['Counteracting the Effects of Dioxins Through Diet', 'Dioxins in the Food Supply', 'Diabetes and Dioxins']",[0.94719434 0.7321719  0.7035427 ],0.94719434,0.17339578
Cumin is a spice.,"['cumin', 'spices', 'capsaicin']",[0.67226607 0.6180295  0.50261086],0.67226607,0.13940594
"Dental X-rays are safe, right?","['Are Dental X-Rays Safe?', 'Do Dental X-Rays Cause Brain Tumors?', 'How Risky are CT Scans?']",[0.97196484 0.73339224 0.5648388 ],0.97196484,0.05948724
What is saturated fat?,"['saturated fat', 'saturate fat', 'The Saturated Fat Studies: Set Up to Fail']",[0.84205484 0.6846137  0.6572337 ],0.84205484,0.14109518
Artificial colors have negative effects on health.,"['Are Artificial Colors Harmful?', 'Are Artificial Colors Bad for You?', 'artificial colors']",[0.87250566 0.8693191  0.707743  ],0.87250566,0.14748026
Can B vitamins prevent brain loss?,"['Preventing Brain Loss with B Vitamins?', ""Does Coconut Oil Cure Alzheimer's?"", 'Fish Intake Associated With Brain Shrinkage']",[0.9728159  0.57996356 0.5528647 ],0.9728159,0.14834441
Can Probiotics prevent the Common Cold?,"['Preventing the Common Cold with Probiotics?', 'Probiotics During Cold Season?', 'Can Gargling Prevent The Common Cold?']",[0.9589119 0.7476259 0.7271771],0.9589119,0.12859853
Is there any update on the scary in vitro avocado data?,"['Any update on the scary in vitro avocado data?', 'Are Avocados Bad for You?', 'Are Avocados Good for You?']",[0.993893   0.49124306 0.47025976],0.993893,0.15193151
The risks of alcohol compared to its benefits should be evaluated.,"['Alcohol Risks vs. Benefits', 'Breast Cancer and Alcohol: How Much is Safe?', 'Breast Cancer & Alcohol: How Much is Safe?']",[0.8278543 0.5475155 0.5416628],0.8278543,0.11978199
Turnips are a type of vegetable.,"['turnips', 'cruciferous vegetables', 'vegetables']",[0.7777724  0.62628865 0.59650385],0.7777724,0.13018288
Pork tapeworms can cause chronic headaches.,"['Chronic Headaches and Pork Tapeworms', 'Chronic Headaches and Pork Parasites', 'Pork Tapeworms on the Brain']",[0.94467527 0.85156167 0.78169   ],0.94467527,0.13459389
There is an issue with hormone functioning.,"['hormonal dysfunction', 'hormones', 'Boosting Sex-Hormone Binding']",[0.8031801  0.72372323 0.60505813],0.8031801,0.14272597
The goal is to stop heart disease in childhood.,"['Stopping Heart Disease in Childhood', 'Heart Disease Starts in Childhood', 'Blocking the First Step of Heart Disease']",[0.8204417 0.6497109 0.6172876],0.8204417,0.15080023
Apple cider vinegars health benefits include advantages for ones well-being.,"['Is apple cider vinegar good for you?', 'Is Vinegar Good For You?', ""Alzheimer's and Apple Juice""]",[0.7701189  0.65151733 0.4505251 ],0.7701189,0.085090585
What is the recommended way to take probiotics?,"['How Should I Take Probiotics?', 'Should Probiotics Be Taken Before, During, or After Meals?', 'probiotics']",[0.9697991  0.7388487  0.68672186],0.9697991,0.12126537
beans from the broad bean plant,"['broad beans', 'beans', 'black beans']",[0.76153624 0.69544023 0.69229317],0.76153624,0.15374584
Cholesterol statin drugs are responsible for causing breast cancer.,"['Do Cholesterol Statin Drugs Cause Breast Cancer?', 'Statin Cholesterol Drugs and Invasive Breast Cancer', 'Cholesterol Feeds Breast Cancer Cells']",[0.93569684 0.9037587  0.77517   ],0.93569684,0.14298229
